Province/State,Week Ending,Unit Sales
Wisconsin ,02-16-20,111094.955
Wisconsin ,02-23-20,112606.7085
Wisconsin ,03-01-20,136314.7615
Wisconsin ,03-08-20,220255.6072
Wisconsin ,03-15-20,482041.8241
Wisconsin ,03-22-20,331849.054
Wyoming ,12-08-19,10424.49633
Wyoming ,12-15-19,10059.41769
Wyoming ,12-22-19,10162.13513
Wyoming ,12-29-19,9474.713997
Wyoming ,01-05-20,10096.98331
Wyoming ,01-12-20,10401.40357
Wyoming ,01-19-20,9140.331348
Wyoming ,01-26-20,9729.052493000001
Wyoming ,02-02-20,10347.66906
Wyoming ,02-09-20,10244.05803
Wyoming ,02-16-20,10254.356240000001
Wyoming ,02-23-20,10158.71925
Wyoming ,03-01-20,13264.807920000001
Wyoming ,03-08-20,24665.7152
Wyoming ,03-15-20,44177.38448
Wyoming ,03-22-20,24916.00878
