Untitled Adhoc Report,,
Product:LIQUID HAND SOAP,,
Geography,Time,Unit Sales
Indiana - Multi Outlet,Week Ending 02-02-20,142188.2039
Indiana - Multi Outlet,Week Ending 02-09-20,149303.5816
Indiana - Multi Outlet,Week Ending 02-16-20,151036.1499
Indiana - Multi Outlet,Week Ending 02-23-20,151554.9769
Indiana - Multi Outlet,Week Ending 03-01-20,178903.5496
Indiana - Multi Outlet,Week Ending 03-08-20,291504.5242
Indiana - Multi Outlet,Week Ending 03-15-20,601248.4042
Indiana - Multi Outlet,Week Ending 03-22-20,447013.9984
Kansas - Multi Outlet,Week Ending 12-08-19,61988.55469
Kansas - Multi Outlet,Week Ending 12-15-19,59340.08407
Kansas - Multi Outlet,Week Ending 12-22-19,57125.40896
Kansas - Multi Outlet,Week Ending 12-29-19,58044.14533
Kansas - Multi Outlet,Week Ending 01-05-20,57481.78679
Kansas - Multi Outlet,Week Ending 01-12-20,70206.84043
Kansas - Multi Outlet,Week Ending 01-19-20,53269.01845
Kansas - Multi Outlet,Week Ending 01-26-20,55850.54827
Kansas - Multi Outlet,Week Ending 02-02-20,59941.12174
Kansas - Multi Outlet,Week Ending 02-09-20,63885.26662
Kansas - Multi Outlet,Week Ending 02-16-20,61644.19566
Kansas - Multi Outlet,Week Ending 02-23-20,61340.87028
Kansas - Multi Outlet,Week Ending 03-01-20,75864.28943
Kansas - Multi Outlet,Week Ending 03-08-20,124372.3896
Kansas - Multi Outlet,Week Ending 03-15-20,241525.9941
Kansas - Multi Outlet,Week Ending 03-22-20,182526.0877
Kentucky - Multi Outlet,Week Ending 12-08-19,103081.0057
Kentucky - Multi Outlet,Week Ending 12-15-19,100184.3195
Kentucky - Multi Outlet,Week Ending 12-22-19,99739.50449
Kentucky - Multi Outlet,Week Ending 12-29-19,97153.04506
Kentucky - Multi Outlet,Week Ending 01-05-20,98875.45486
Kentucky - Multi Outlet,Week Ending 01-12-20,117939.478
Kentucky - Multi Outlet,Week Ending 01-19-20,93681.38884
Kentucky - Multi Outlet,Week Ending 01-26-20,94956.33543
Kentucky - Multi Outlet,Week Ending 02-02-20,106273.6531
Kentucky - Multi Outlet,Week Ending 02-09-20,109306.6937
Kentucky - Multi Outlet,Week Ending 02-16-20,109129.4473
Kentucky - Multi Outlet,Week Ending 02-23-20,107673.0878
Kentucky - Multi Outlet,Week Ending 03-01-20,129209.7642
Kentucky - Multi Outlet,Week Ending 03-08-20,228436.7558
Kentucky - Multi Outlet,Week Ending 03-15-20,466373.4555
Kentucky - Multi Outlet,Week Ending 03-22-20,306184.5526
Louisiana - Multi Outlet,Week Ending 12-08-19,84716.11197
Louisiana - Multi Outlet,Week Ending 12-15-19,79262.00287
Louisiana - Multi Outlet,Week Ending 12-22-19,80991.59816
Louisiana - Multi Outlet,Week Ending 12-29-19,88507.17778
Louisiana - Multi Outlet,Week Ending 01-05-20,79785.77155
Louisiana - Multi Outlet,Week Ending 01-12-20,82034.16398
Louisiana - Multi Outlet,Week Ending 01-19-20,75441.39419
Louisiana - Multi Outlet,Week Ending 01-26-20,72976.58734
